Name,Sex,Event,Equipment,AgeClass,Division,WeightClassKg,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,TotalKg,Place,Wilks,McCulloch,Glossbrenner,IPFPoints,Tested,Country,Federation,Date,MeetCountry,MeetState,MeetName
Katie Carlisle,F,SBD,Wraps,24-34,F-OR,75,142.5,70,162.5,375,2,362.06,362.06,318.76,607.12,,,GPC-AUS,2015-01-25,Australia,ACT,ACT State Titles
Michael O'Malveney,M,SBD,Wraps,24-34,M-OR,82.5,140,110,220,470,4,325.32,325.32,314.40,468.33,,,GPC-AUS,2015-01-25,Australia,ACT,ACT State Titles
Jono Wild,M,SBD,Wraps,20-23,M-OR,90,175,105,220,500,4,321.04,324.25,309.45,460.02,,,GPC-AUS,2015-01-25,Australia,ACT,ACT State Titles
Eddie Owens,M,SBD,Wraps,20-23,M-OR,100,185,140,230,555,1,347.07,350.54,334.13,501.74,,,GPC-AUS,2015-01-25,Australia,ACT,ACT State Titles
Iveni Tultupou,M,SBD,Wraps,24-34,M-OR,140+,272.5,190,290,752.5,1,419.49,419.49,397.14,559.96,,,GPC-AUS,2015-01-25,Australia,ACT,ACT State Titles
John Pappas,M,SBD,Raw,20-23,M-JR,125,220,155,275,650,1,379.22,386.81,362.83,536.61,,Australia,GPA,2014-11-21,Australia,NSW,World Championships
Dean Naumoski,M,SBD,Wraps,24-34,M-OR,90,235,165,272.5,672.5,1,431.29,431.29,415.71,647.01,,,GPC-AUS,2019-01-19,Australia,VIC,Summer Classic
CJ Errey,M,SBD,Wraps,24-34,M-OR,90,200,142.5,245,587.5,5,375.48,375.48,361.86,552.05,,,GPC-AUS,2019-01-19,Australia,VIC,Summer Classic
Justin Burke,M,SBD,Single-ply,18-19,Boys,124.7,215.46,90.72,199.58,505.76,3,295.40,307.22,282.68,371.87,Yes,,THSPA,2013-01-26,USA,TX,Brazosport Powerlifting Meet
Nathan Piscopo,M,SBD,Wraps,18-19,M-OR,90,185,90,205,480,8,315.37,327.99,304.26,451.40,,,GPC-AUS,2019-01-19,Australia,VIC,Summer Classic
Boe Osborne,M,SBD,Wraps,16-17,M-OR,90,152.5,77.5,180,410,10,274.46,296.42,264.96,382.12,,,GPC-AUS,2019-01-19,Australia,VIC,Summer Classic
Daniel Veneziano,M,SBD,Wraps,20-23,M-OR,110,295,140,235,670,3,397.91,397.91,381.58,575.21,,,GPC-AUS,2019-04-06,Australia,VIC,VIC States
Dewayne Heal,M,SBD,Wraps,24-34,M-OR,110,245,160,270,675,3,400.63,400.63,384.16,579.49,,,GPC-AUS,2019-01-19,Australia,VIC,Summer Classic
John Silberberg,M,SBD,Wraps,45-49,MR-O,100,180,130,200,510,6,312.43,333.67,300.41,440.40,,,WRPF-AUS,2017-09-02,Australia,TAS,Down Under Classic
Robert Allen,M,B,Single-ply,,Open,56,,132.5,,132.5,3,121.26,121.26,118.61,621.36,Yes,USA,IPF,1995-06-25,Czechia,,World Bench Press Championships
Tom Wallder,M,SBD,Wraps,24-34,MR-O,140,245,152.5,260,657.5,3,373.50,373.50,355.49,509.34,,,WRPF-AUS,2018-06-24,Australia,NSW,Riverina Championships
Zen Hastings,M,SBD,Wraps,24-34,M-OR,140,255,192.5,240,687.5,3,390.13,390.13,371.22,534.81,,,GPC-AUS,2019-01-19,Australia,VIC,Summer Classic
Peter Conversano,M,SBD,Wraps,35-39,M-OR,140+,220,110,220,550,3,306.64,306.64,290.31,386.67,,,GPC-AUS,2019-01-19,Australia,VIC,Summer Classic
Dayna Northrope,F,SBD,Raw,20-23,F-OR,48,90,45,100,235,1,318.49,324.86,284.15,461.83,,,GPC-AUS,2019-01-19,Australia,VIC,Summer Classic
Tiffany Duong,F,SBD,Wraps,24-34,F-OR,60,117.5,50,165,332.5,4,372.63,372.63,329.27,590.22,,,GPC-AUS,2019-04-06,Australia,VIC,VIC States
Lauren Cafra,F,SBD,Wraps,20-23,F-OR,67.5,110,60,135,305,8,335.73,345.80,296.57,533.72,,,GPC-AUS,2019-01-19,Australia,VIC,Summer Classic
Jovana Djakovic,F,SBD,Wraps,24-34,F-OR,67.5,140,77.5,170,387.5,5,406.99,406.99,359.24,663.05,,,GPC-AUS,2019-01-19,Australia,VIC,Summer Classic
Erin Saunders,F,SBD,Wraps,24-34,F-OR,67.5,147.5,75,167.5,390,4,405.93,405.93,358.24,663.53,,,GPC-AUS,2019-01-19,Australia,VIC,Summer Classic
Alicia Smith,F,SBD,Raw,,Open,72,110,65,135,310,1,312.14,312.14,275.25,514.38,Yes,,CPU,2018-06-16,Canada,NS,New Brunswick and Nova Scotia Provincials
Joelle Saugy,F,SBD,Raw,24-34,Open,84,95,55,127.5,277.5,1,264.58,264.58,232.78,444.91,Yes,,PA,2018-05-13,Australia,VIC,Avia Performance Autumn Challenge
Wade Arnold,M,SBD,Wraps,24-34,M-OR,75,195,107.5,212.5,515,2,371.52,371.52,359.52,545.14,,,GPC-AUS,2019-01-19,Australia,VIC,Summer Classic
Sam Darley,M,SBD,Wraps,20-23,M-OR,75,175,,,,DQ,,,,,,,GPC-AUS,2019-01-19,Australia,VIC,Summer Classic
Baz Akkulah,M,SBD,Raw,24-34,M-OR,82.5,152.5,122.5,195,470,3,332.46,332.46,321.51,479.79,,,GPC-AUS,2019-01-19,Australia,VIC,Summer Classic
Marnie Barton,F,SBD,Wraps,35-39,F-OR,56,80,50,115,245,1,288.27,288.27,254.98,441.09,,,GPC-AUS,2013-03-22,Australia,ACT,ACT States
Sonja Taylor,F,SBD,Wraps,45-49,F-OR,60,90,57.5,120,267.5,1,300.96,321.43,265.96,471.58,,,GPC-AUS,2013-03-22,Australia,ACT,ACT States
Jeni Apps,F,SBD,Wraps,24-34,F-OR,67.5,90,60,150,300,1,306.51,306.51,270.39,501.87,,,GPC-AUS,2013-03-22,Australia,ACT,ACT States
Harriet Walker,F,SBD,Wraps,24-34,F-OR,67.5,,55,90,,DQ,,,,,,,GPC-AUS,2013-03-22,Australia,ACT,ACT States
Trent Ngyuen,M,SBD,Wraps,35-39,M-OR,75,100,100,180,380,1,279.96,279.96,271.11,388.89,,,GPC-AUS,2013-03-22,Australia,ACT,ACT States
Phu Nguyen,M,B,Raw,13-15,Open,82.5,,155,,155,1,103.84,132.91,100.24,633.18,Yes,USA,AAU,2002-06-01,USA,NV,North Americans
Milkis Lutchman,M,SBD,Wraps,24-34,M-OR,67.5,145,100,190,435,3,335.39,335.39,325.32,479.50,,,GPC-AUS,2018-03-24,Australia,WA,WA State Championships
Edward Searle,M,SBD,Wraps,18-19,M-OR,75,145,120,205,470,2,349.75,370.73,338.81,506.33,,,GPC-AUS,2017-09-16,Australia,WA,Pasta Cup
Martin Shenfield,M,SBD,Wraps,24-34,M-OR,75,120,85,172.5,377.5,3,274.06,274.06,265.27,379.61,,,GPC-AUS,2017-04-29,Australia,WA,WA State Titles
Callum Mooney,M,SBD,Wraps,20-23,M-OR,75,130,77.5,170,377.5,4,276.83,285.14,268.04,383.83,,,GPC-AUS,2017-09-16,Australia,WA,Pasta Cup
Mitchell Evans,M,SBD,Raw,,Varsity,55.7,115.67,86.18,131.54,333.39,6,304.83,304.83,298.16,413.31,,,MHSPLA,2016-03-12,USA,MI,State Championships
Ahmed Hulameh,M,SBD,Wraps,35-39,M-OR,80,270,160,300,730,3,501.97,501.97,485.01,768.90,,,ProRaw,2019-03-15,Australia,VIC,XI
James Darlington,M,SBD,Wraps,24-34,M-OR,82.5,180,145,220,545,5,368.50,368.50,355.86,542.10,,,GPC-AUS,2017-09-16,Australia,WA,Pasta Cup
Sebastian Trevenen,M,SBD,Raw,24-34,M-OR,93,160,120,215,495,4,321.69,321.69,310.23,461.76,Yes,,APU,2018-08-19,Australia,WA,WA State Powerlifting Championships
Jonty Hollins,M,SBD,Raw,24-34,M-OR,83,167.5,110,210,487.5,4,328.14,328.14,316.84,473.45,Yes,,APU,2018-08-19,Australia,WA,WA State Powerlifting Championships
Aaron Brewer,M,SBD,Raw,24-34,Open,85,230,125,255,610,3,411.98,411.98,397.83,616.08,Yes,Australia,WP,2018-08-16,China,,Asia Pacific Open
Nic Spillane,M,SBD,Wraps,24-34,M-OR,90,195,142.5,207.5,545,6,348.32,348.32,335.68,505.98,,,GPC-AUS,2017-09-16,Australia,WA,Pasta Cup
Arron Cullimore,M,SBD,Wraps,40-44,M-OR,100,250,180,285,715,1,440.09,459.02,423.30,656.02,,,GPC-AUS,2018-03-24,Australia,WA,WA State Championships
Mitch Anderson,M,SBD,Wraps,24-34,M-OR,90,217.5,132.5,232.5,582.5,10,372.29,372.29,358.78,546.63,,,GPC-AUS,2018-03-24,Australia,WA,WA State Championships
Mark Daniels #2,M,SBD,Wraps,24-34,M-OR,100,60,110,100,270,10,167.71,167.71,161.40,198.24,,,GPC-AUS,2017-04-29,Australia,WA,WA State Titles
Travis White,M,BD,Raw,24-34,M-OpR,100,,142.5,227.5,370,3,226.28,226.28,217.55,,,,CPF,2018-01-27,Canada,NB,United Push/Pull
Gregg Stone,M,SBD,Wraps,24-34,MO-RP,125,192.5,120,220,532.5,4,305.56,305.56,291.50,407.87,,,CAPO,2016-05-29,Australia,WA,WA States
Melinda Ho,F,SBD,Wraps,24-34,F-OR,48,95,57.5,120,272.5,1,376.74,376.74,336.98,552.73,,,GPC-AUS,2018-03-24,Australia,WA,WA State Championships
Chantelle Tatyana Rihari,F,SBD,Wraps,13-15,F-OR,48,57.5,32.5,75,165,1,219.20,269.62,195.16,305.25,,,GPC-AUS,2017-09-16,Australia,WA,Pasta Cup
Kate Hunter,F,SBD,Wraps,24-34,F-OR,90,120,,140,,DQ,,,,,,,GPC-AUS,2018-03-24,Australia,WA,WA State Championships
Fatima Delane,F,SBD,Raw,55-59,Masters 2,,87.5,50,130,267.5,1,230.82,282.75,200.57,400.92,Yes,,APU,2018-10-26,Australia,NSW,Australian Classic Nationals
Mereku Lutui-Matthews,F,SBD,Wraps,20-23,F-OR,110+,120,80,152.5,352.5,2,277.75,277.75,234.39,464.40,,,GPC-AUS,2017-09-16,Australia,WA,Pasta Cup
Kerryn Lunnie,F,SBD,Wraps,24-34,F-OR,110+,110,67.5,142.5,320,3,256.82,256.82,217.87,437.54,,,GPC-AUS,2017-09-16,Australia,WA,Pasta Cup
Linda Radell,F,SBD,Wraps,45-49,F-OR,56,105,60,125,290,1,345.09,373.38,305.34,531.14,,,GPC-AUS,2017-09-17,Australia,QLD,Mackay Cup
Henry Fatiaki,M,SBD,Wraps,35-39,M-OR,125,205,155,230,590,3,337.22,337.22,321.43,456.25,,,GPC-AUS,2017-09-17,Australia,QLD,Mackay Cup
Todd Crossin,M,SBD,Wraps,24-34,M-OR,100,225,145,250,620,2,377.33,377.33,362.64,548.07,,,GPC-AUS,2017-09-17,Australia,QLD,Mackay Cup
Mitchell Hinch,M,SBD,Wraps,20-23,M-OR,125,245,120,240,605,2,346.66,350.12,330.60,473.11,,,GPC-AUS,2017-09-17,Australia,QLD,Mackay Cup
Brendan Clark,M,SBD,Wraps,24-34,M-OR,110,275,150,290,715,1,427.68,427.68,410.43,627.28,,,GPC-AUS,2017-09-17,Australia,QLD,Mackay Cup
Dyon Hunt,M,SBD,Wraps,35-39,M-OR,100,265,140,255,660,1,402.81,402.81,387.21,591.46,,,GPC-AUS,2017-09-17,Australia,QLD,Mackay Cup
Racheal Mountford,F,SBD,Wraps,35-39,F-OR,60,120,65,165,350,2,395.55,395.55,349.57,625.81,,,GPC-AUS,2015-03-01,Australia,SA,SA States
Michelle Pumpa,F,SBD,Wraps,35-39,F-OR,60,125,60,140,325,4,362.99,362.99,320.73,575.20,,,GPC-AUS,2015-03-01,Australia,SA,SA States
